,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
365,1472538053,105.5263158,30.00401461,27.97368421,560,39.59466246,604.4552778,170.474522,FS,100,24.65,44.92,2017
197,1518544053,108.3333333,57.48916323,16.26666667,180,46.72339172,534.0928102,150.8211333,FS,89.28681479,25.23,45.46,2015
226,1492539624,112.5,42.0072464,38.2875,160,22.17472754,434.106482,122.4310511,FS,100,24.9,45.07,2014
173,1478240021,113.75,37.7501174,20.3375,220,24.6234655,292.6444776,82.53452203,FS,100,24.72,45.1,2015
320,1464542053,114,40.24291242,28.92,100,12.71946042,194.9872686,54.99225935,FS,100,24.55,45.28,2014
370,1482543253,114.6153846,38.39926003,29.40769231,410,47.48095537,956.4086629,260.2653616,FS,86.52518798,24.78,45.39,2014
288,1498543224,115,61.2209523,31.41666667,120,35.32411492,612.3242897,172.6938194,FS,100,24.98,45.39,2014
241,1484543624,118,48.51550506,30.71,260,48.0644905,884.1959481,235.7930448,FS,83.27927688,24.8,45.43,2016
186,1514542424,120,68.6,36.5,20,7.392104682,144.830459,40.84653434,FS,100,25.18,45.32,2016
191,1460543653,120,70.75875446,23.68333333,150,58.98498858,773.6975788,199.7502136,FS,58.72930225,24.49,45.43,2017
282,1468538853,120,36.58209945,16.2,40,4.204236369,48.09293582,13.65226553,FS,67.48552214,24.6,45,2017
297,1486543253,120,51.8,2,20,4.214823536,12.35633568,3.48485735,FS,100,24.83,45.39,2017
302,1462543253,120,49.68518391,34.66,400,77.55390603,1532.811034,432.298696,FS,100,24.52,45.39,2015
415,1498237621,120,47.34062737,28.625,80,14.0814665,224.8281963,63.50162706,FS,86.17843191,24.98,44.89,2016
171,1464242821,130,54.9542607,30.92,130,30.83443344,658.4182056,185.6936865,FS,100,24.54,45.35,2017
290,1482544053,130,51.58597193,25.3875,160,33.44052592,473.5460025,133.5541791,FS,100,24.78,45.46,2017
318,1468242052,130,45.01462389,26.425,110,17.50611666,262.3788114,73.99869618,FS,100,24.59,45.28,2017
277,1482243252,134.4444444,41.10580859,32.28888889,240,31.84985902,615.6573988,163.433075,FS,76.97736862,24.77,45.39,2014
200,1490541624,140,44.20711742,32.26,130,19.95343304,360.6762684,101.721528,FS,100,24.88,45.25,2014
310,1490241652,140,49.47979386,35.98,100,19.22851054,388.3691025,109.531738,FS,100,24.87,45.25,2014
329,1482543224,143.75,62.10101703,35.55,190,57.54941425,1215.663234,342.8535018,FS,100,24.78,45.39,2014
167,1464242052,150,51,33.5,20,4.085641246,70.36744874,19.84573157,FS,100,24.54,45.28,2014
172,1460242852,150,71.37629158,37.825,80,32.01015879,693.6034463,195.61698,FS,100,24.49,45.36,2014
416,1516542024,150,82.6,23.7,20,10.71716635,139.302357,39.28744375,FS,100,25.21,45.28,2017
